"","Category","Time","Stratum","Units","Estimate","Std..Error.for.Estimate","Std..Error.for.ln.Estimate.","STRATA","west_border","east_border","north_border","south_border"
"134",1,2020,"Stratum_6"," [count*km2/km2]",0,0,0,"SBS_SW",-172.5,-166.75,57.9,54.9
"135",1,2021,"Stratum_6"," [count*km2/km2]",349.311876469085,207.215413075334,1.34197963493583,"SBS_SW",-172.5,-166.75,57.9,54.9
"136",1,2022,"Stratum_6"," [count*km2/km2]",264.38617596453,131.34868457781,1.00470775394587,"SBS_SW",-172.5,-166.75,57.9,54.9
"137",1,2023,"Stratum_6"," [count*km2/km2]",310.225390418429,184.008091016755,1.33959338148511,"SBS_SW",-172.5,-166.75,57.9,54.9
"138",1,2024,"Stratum_6"," [count*km2/km2]",654.86267749375,357.941224095106,1.12763041471966,"SBS_SW",-172.5,-166.75,57.9,54.9
"139",1,2002,"Stratum_7"," [count*km2/km2]",1560.36472434374,327.3777290292,0.294750643166813,"SBS_SE",-166.75,Inf,57.9,54.9
"140",1,2003,"Stratum_7"," [count*km2/km2]",2684.97445035277,672.159261217187,0.401405211885432,"SBS_SE",-166.75,Inf,57.9,54.9
"141",1,2004,"Stratum_7"," [count*km2/km2]",2047.03185761198,374.327350815708,0.26253623348494,"SBS_SE",-166.75,Inf,57.9,54.9
"142",1,2005,"Stratum_7"," [count*km2/km2]",1994.77102417654,368.052488225696,0.257800491718626,"SBS_SE",-166.75,Inf,57.9,54.9
"143",1,2006,"Stratum_7"," [count*km2/km2]",273.36164737881,101.358516017857,0.584641158382644,"SBS_SE",-166.75,Inf,57.9,54.9
"144",1,2007,"Stratum_7"," [count*km2/km2]",9116.75393513361,3173.91417780156,0.485411131529452,"SBS_SE",-166.75,Inf,57.9,54.9
"145",1,2008,"Stratum_7"," [count*km2/km2]",705.696123541963,268.022848666941,0.644348050463464,"SBS_SE",-166.75,Inf,57.9,54.9
"146",1,2009,"Stratum_7"," [count*km2/km2]",1271.31683891213,500.690492534167,0.68636638488949,"SBS_SE",-166.75,Inf,57.9,54.9
"147",1,2010,"Stratum_7"," [count*km2/km2]",236.593920698774,95.6053325229776,0.692351633335054,"SBS_SE",-166.75,Inf,57.9,54.9
"148",1,2011,"Stratum_7"," [count*km2/km2]",636.69647104046,330.528608494347,1.01777654794576,"SBS_SE",-166.75,Inf,57.9,54.9
"149",1,2012,"Stratum_7"," [count*km2/km2]",114.832932068122,61.7589556054252,1.00436252494933,"SBS_SE",-166.75,Inf,57.9,54.9
"150",1,2013,"Stratum_7"," [count*km2/km2]",1019.7045076918,608.661701457171,1.45733657769783,"SBS_SE",-166.75,Inf,57.9,54.9
"151",1,2014,"Stratum_7"," [count*km2/km2]",1269.04964415499,558.204807289549,0.839444618029005,"SBS_SE",-166.75,Inf,57.9,54.9
"152",1,2015,"Stratum_7"," [count*km2/km2]",4261.89671364753,2509.34646253121,1.44180641507739,"SBS_SE",-166.75,Inf,57.9,54.9
"153",1,2016,"Stratum_7"," [count*km2/km2]",2256.75052318053,628.853609284601,0.443266720222712,"SBS_SE",-166.75,Inf,57.9,54.9
"154",1,2017,"Stratum_7"," [count*km2/km2]",1534.03449553287,922.61768943965,1.46766677589017,"SBS_SE",-166.75,Inf,57.9,54.9
"155",1,2018,"Stratum_7"," [count*km2/km2]",30960.8808466869,11207.0152100404,0.757162414268782,"SBS_SE",-166.75,Inf,57.9,54.9
"156",1,2019,"Stratum_7"," [count*km2/km2]",3346.61832681908,1934.13983561951,1.42264172265741,"SBS_SE",-166.75,Inf,57.9,54.9
"157",1,2020,"Stratum_7"," [count*km2/km2]",0,0,0,"SBS_SE",-166.75,Inf,57.9,54.9
"158",1,2021,"Stratum_7"," [count*km2/km2]",1418.82688959281,854.918838179428,1.47097481535887,"SBS_SE",-166.75,Inf,57.9,54.9
"159",1,2022,"Stratum_7"," [count*km2/km2]",1817.70752519777,692.391078825411,0.652829866652219,"SBS_SE",-166.75,Inf,57.9,54.9
"160",1,2023,"Stratum_7"," [count*km2/km2]",1338.62251411755,802.90666521732,1.46321132569478,"SBS_SE",-166.75,Inf,57.9,54.9
"161",1,2024,"Stratum_7"," [count*km2/km2]",5459.32228891575,2635.38527716683,0.934556032403036,"SBS_SE",-166.75,Inf,57.9,54.9
